,number_of_rooms,area,storey_number,total_storey_number,price,district,complex_name,year,condition
10435,3,83.0,4,9,35000000,Есиль,,2006,
10436,2,37.0,1,5,14000000,Сарыарка,,1972,хорошее
10437,1,49.0,9,9,16500000,Алматы,Жасмин,2015,евроремонт
10438,2,57.2,4,9,25000000,Есиль,Manhattan,2020,евроремонт
10439,2,51.1,10,13,15000000,,Лея,2018,черновая
10440,3,93.0,6,9,34500000,Есиль,,2015,хорошее
10441,5,195.0,33,41,85000000,Есиль,Северное сияние,2011,евроремонт
10442,3,102.0,9,9,45000000,Алматы,Английский квартал,2014,евроремонт
10443,1,22.0,1,5,7500000,Алматы,,2005,среднее
10444,1.0,29.0,,,8500000.0,,,1976.0,
10445,2,62.0,6,7,25500000,Есиль,,2016,евроремонт
10446,3,80.0,1,5,35000000,Сарыарка,,1998,хорошее
10447,2,63.63,6,9,16300000,Алматы,Жасыл Астана,2020,черновая
10448,1,39.0,1,9,10300000,Алматы,Сатурн,2021,
10449,2,65.0,9,16,23000000,Алматы,Мирас,2007,евроремонт
10450,2,62.0,7,10,25500000,Есиль,Apple City,2021,черновая
10451,3,94.5,7,9,31000000,Сарыарка,Максат,2008,евроремонт
10452,3,88.0,13,14,36500000,Есиль,Лазурный квартал,2014,хорошее
10453,3,88.0,5,6,43000000,Есиль,Венский квартал,2017,евроремонт
10454,4,205.0,11,13,110000000,,Нурсая,2010,евроремонт
10455,2,87.9,10,12,40000000,Есиль,Нурсая,2005,
10456,1,40.2,4,10,18000000,Алматы,,2012,хорошее
10457,1,44.0,7,9,16100000,Алматы,Нипи,2012,хорошее
10458,2,60.0,2,10,31000000,Есиль,Art House,2017,евроремонт
10459,3,93.0,16,18,65000000,Есиль,Dream City,2019,евроремонт
10460,3,80.0,6,9,40000000,Алматы,,2014,хорошее
10461,1,18.3,4,5,6000000,,,1985,требует
10462,1,54.2,4,9,19400000,Алматы,,2005,евроремонт
10463,3,68.0,5,6,24000000,Алматы,,1991,евроремонт
10464,4,222.0,15,,123000000,,Хайвил Астана,2010,евроремонт
10465,3,150.0,14,,77000000,,Хайвил Астана,2010,евроремонт
10466,4,222.0,4,,110000000,,Хайвил Астана,2007,евроремонт
10467,2,69.0,,,35000000,Есиль,Аркада,2019,
10468,4,147.0,16,,77700000,,Хайвил Астана,2015,евроремонт
10469,3,59.5,2,5,22000000,,,1980,хорошее
10470,3,115.0,10,13,38000000,Алматы,Барыс,2014,хорошее
10471,2,77.0,5,14,26720000,Алматы,,2011,евроремонт
10472,2,49.57,8,9,18000000,,,2018,хорошее
10473,2,52.2,7,9,18000000,Алматы,Ак Дала,2007,хорошее
10474,1,40.42,5,22,13300000,Есиль,Sezim Qala,2021,черновая
10475,1,37.0,5,8,13950000,Алматы,Астана сәні,2018,хорошее
10476,2,60.0,11,11,16800000,Алматы,,2017,евроремонт
10477,1,37.3,9,10,14700000,Есиль,InjuArena,2020,
10478,2,72.1,7,10,30000000,,Туран,2012,евроремонт
10479,1,29.5,1,5,12000000,,,1986,евроремонт
10480,5,109.0,6,14,55000000,Есиль,Коркем,2019,евроремонт
10481,2,50.0,8,16,17000000,,Жаркын,2010,хорошее
10482,2,55.0,7,18,25500000,Есиль,Panorama Park,2021,
10483,3,105.0,2,13,53000000,Есиль,Arnau Premium,2018,евроремонт
10484,2,44.0,4,5,15500000,Сарыарка,,1972,хорошее
10485,1,49.0,11,13,17000000,Алматы,Алтын Раид,2020,хорошее
10486,1,36.0,4,9,11950000,Алматы,Достар,2007,среднее
10487,1,38.0,14,14,16200000,Есиль,Айсанам,2015,евроремонт
10488,3,90.0,9,10,24300000,Сарыарка,Аль Арка,2010,евроремонт
10489,3,61.0,4,5,23000000,,,1979,
10490,1,39.34,2,8,14500000,Есиль,Expo New,2021,черновая
10491,5,248.0,12,21,153000000,Алматы,,2014,
10492,1,45.2,14,18,17500000,Есиль,,2016,хорошее
10493,2,62.5,4,9,18900000,Алматы,Нурай,2008,среднее
10494,3,82.0,7,8,21000000,Алматы,Меркурий,2018,черновая
10495,3,90.4,6,9,47500000,,Времена года.,2016,евроремонт
10496,1,35.69,14,17,14704825,,Alau,2021,
10497,2,40.4,8,16,22000000,Алматы,Северная корона,2005,евроремонт
10498,2,44.9,3,5,14000000,,,1975,хорошее
10499,3,60.0,3,5,19500000,Сарыарка,,1973,хорошее
10500,1,20.0,3,5,5000000,,,1989,хорошее
10501,1,23.8,11,15,10200000,Алматы,Биик Шанырак,2019,хорошее
10502,1,42.1,8,9,16000000,Есиль,,2006,хорошее
10503,3,78.2,8,10,23500000,Алматы,,2015,хорошее
10504,3,93.0,3,18,28800000,,Жар Жар,2014,евроремонт
10505,1,49.0,3,12,23000000,Есиль,Park Avenue,2018,евроремонт
10506,3,90.0,9,11,24500000,Сарыарка,Аль Арка,2009,евроремонт
10507,1,56.0,12,16,24000000,Есиль,Триумф Астаны,2009,евроремонт
10508,2,48.53,4,10,16500000,Есиль,Brussels,2021,черновая
10509,1,45.0,8,18,16500000,Сарыарка,,2008,среднее
10510,1,22.3,3,6,8200000,Сарыарка,Керуен,2017,хорошее
10511,2,44.0,16,16,13800000,Сарыарка,,2010,хорошее
10512,1,29.5,5,9,12000000,Алматы,Саламат,2016,
10513,3,88.0,5,6,43000000,Есиль,Венский квартал,2017,евроремонт
10514,1,18.7,5,5,4700000,Сарыарка,,1975,хорошее
10515,1,50.0,5,10,21500000,Есиль,Коркем,2017,хорошее
10516,2,71.0,1,9,35000000,Есиль,Well House,2014,хорошее
10517,1,30.0,2,8,12500000,Есиль,Besterek,2021,черновая
10518,2,59.0,9,20,22900000,Алматы,Гранд Астана,2010,евроремонт
10519,2,72.0,3,9,32500000,Есиль,Promenade Expo,2016,евроремонт
10520,3,170.0,3,5,93000000,Есиль,,2015,евроремонт
10521,3,115.0,2,9,70000000,Алматы,Миланский квартал,2015,евроремонт
10522,2,73.0,4,6,46000000,Есиль,Премьера,2015,евроремонт
10523,1,38.5,6,8,13500000,Алматы,Меркурий,2021,евроремонт
10524,1,43.0,8,10,18000000,Есиль,,2021,черновая
10525,2,50.0,5,6,15000000,Алматы,,1992,хорошее
10526,2,74.0,3,9,25500000,Есиль,Кен Дала,2021,евроремонт
10527,3,68.6,4,5,23000000,Алматы,,1988,хорошее
10528,2,82.0,19,21,30000888,Алматы,Гранд Астана,2011,евроремонт
10529,3,92.0,4,7,30000000,Алматы,Марс,2020,евроремонт
10530,1,30.0,14,16,10000000,Сарыарка,Тамыз,2010,среднее
10531,3,86.0,6,18,32000000,Алматы,,2016,евроремонт
10532,2,55.0,4,4,24000000,Есиль,Family Town,2016,евроремонт
10533,1,29.1,7,9,9500000,Сарыарка,Айка,2016,хорошее
10534,1,30.0,7,9,9500000,Сарыарка,,2017,хорошее
10535,2,59.1,6,6,20000000,Алматы,,2014,евроремонт
10536,4,76.0,6,6,19000000,,,1991,хорошее
10537,3,101.0,6,6,30000000,Сарыарка,,2007,евроремонт
10538,3,87.0,6,14,34000000,Есиль,Лазурный квартал,2014,среднее
10539,5,192.0,11,20,55000000,,Мерей Интерконти,2007,евроремонт
10540,1,35.0,2,9,12300000,Есиль,,2017,
10541,2,47.0,5,10,19000000,Есиль,Варшава,2020,черновая
10542,1,19.0,5,5,4800000,Сарыарка,,1970,евроремонт
10543,2,44.3,7,9,20000000,Сарыарка,Айя,2011,хорошее
10544,3,89.5,5,5,20999999,Сарыарка,,2007,
10545,1,23.0,5,5,8000000,Алматы,,1985,
10546,3,71.05,17,25,26500000,Алматы,Томирис,2020,
10547,3,76.0,6,23,40000000,Есиль,Highvill Park,2016,евроремонт
10548,2,45.0,3,5,12400000,Сарыарка,,1977,требует
10549,3,83.0,3,9,27000000,Алматы,,2006,хорошее
10550,3,120.0,2,5,67000000,Есиль,Mangilik El,2020,черновая
10551,2,80.0,5,9,48500000,Есиль,Миланский квартал,2014,евроремонт
10552,1,34.6,,,12250000,Есиль,College,2021,
10553,1,22.0,2,5,9500000,,Солнечный город,2010,среднее
10554,1,41.0,12,16,19307777,Есиль,Esil Plaza,2019,евроремонт
10555,4,106.0,1,7,59800000,Алматы,England,2017,евроремонт
10556,2,47.1,1,5,16000000,Алматы,,1987,хорошее
10557,3,96.0,11,13,30000000,Сарыарка,Медина,2016,хорошее
10558,2,71.0,1,10,21800000,Алматы,Магистральный,2012,
10559,1,48.0,2,5,15500000,Есиль,,2021,черновая
10560,1,31.0,11,16,12000000,Алматы,Апато Тауэр,2006,среднее
10561,3,61.0,4,9,20500000,,,1984,хорошее
10562,3,74.0,15,18,26850000,Есиль,Магистральный,2013,евроремонт
10563,1,37.4,1,14,16700000,Есиль,,2014,хорошее
10564,3,83.5,6,9,30000000,Есиль,,2007,хорошее
10565,3,86.0,7,17,40000000,Есиль,Esil Plaza,2020,евроремонт
10566,2,65.0,3,9,21000000,Алматы,,2008,хорошее
10567,2,84.4,7,19,26000000,Алматы,Алтын Гасыр,2009,хорошее
10568,3,72.6,7,9,44000000,Есиль,,2020,евроремонт
10569,2,67.3,8,17,22500000,Алматы,Жайна,2016,хорошее
10570,2,53.0,9,9,21000000,Есиль,,2011,
10571,1,42.0,4,10,18500000,Есиль,Apple City,2021,хорошее
10572,1,52.0,3,1,20000000,Есиль,Айсанам,2021,черновая
10573,2,58.1,11,12,20000000,Алматы,Улан,2008,хорошее
10574,3,85.0,4,10,27000000,Сарыарка,Аль Арка,2009,евроремонт
10575,2,46.0,1,5,15000000,Сарыарка,,1970,требует
10576,2,45.0,5,5,13000000,Сарыарка,,1969,среднее
10577,3,80.0,10,10,22000000,Алматы,,2017,среднее
10578,3,68.0,4,14,23800000,Сарыарка,Кутты Мекен,2020,хорошее
10579,3,54.6,4,4,16300000,Сарыарка,,1964,среднее
10580,2,73.2,5,9,26000000,Есиль,Аркада,2021,черновая
10581,3,64.0,4,5,24000000,Алматы,,1987,
10582,3,78.0,19,24,29900000,Алматы,Жануя,2014,евроремонт
10583,1,38.9,5,7,14000000,Алматы,,2020,евроремонт
10584,1,24.1,13,14,10000000,Алматы,Биик Шанырак,2020,хорошее
10585,2,70.0,14,16,25000000,Алматы,Кампус,2017,
10586,1,50.0,4,9,16500000,Есиль,,2015,хорошее
10587,2,109.1,8,20,32500000,Есиль,Эдем палас,2007,евроремонт
10588,3,85.0,4,9,32700000,Алматы,,2014,хорошее
10589,2,50.3,2,6,19800000,Есиль,Family Town,2016,
10590,2,47.0,3,,17000000,Алматы,,1980,хорошее
10591,3,68.9,5,10,26000000,Сарыарка,,2012,
10592,4,73.5,1,4,24500000,Алматы,,1996,хорошее
10593,1,20.0,5,13,8699000,Алматы,Аспан,2016,
10594,1,40.1,7,9,14800000,Есиль,Жагалау,2016,хорошее
10595,3,96.0,8,11,29000000,Сарыарка,Коктем,2007,среднее
10596,2,54.0,3,5,25000000,Алматы,Достар,2007,евроремонт
10597,1,52.0,5,6,21500000,Есиль,Венский квартал,2017,хорошее
10598,3,80.0,5,5,28000000,Сарыарка,,1998,евроремонт
10599,2,56.0,3,6,14000000,Есиль,Family Park,2021,черновая
10600,2,52.6,5,5,19000000,Есиль,,1993,хорошее
10601,2,70.0,11,23,30000000,Есиль,Лазурный квартал,2011,евроремонт
10602,1,37.0,12,14,13500000,Сарыарка,,2010,хорошее
10603,3,80.0,10,10,26500000,Есиль,Уют,2009,хорошее
10604,2,93.0,15,22,30000000,,Виктория,2016,евроремонт
10605,2,50.0,6,21,31000000,Есиль,Highvill Park,2020,евроремонт
10606,2,45.0,2,4,11800000,Алматы,,1974,хорошее
10607,2,56.9,5,16,22000000,,Nova City,2018,хорошее
10608,2,58.0,6,17,23000000,Есиль,Alau,2021,черновая
10609,1,39.0,6,9,23500000,Есиль,Авиценна,2007,хорошее
10610,2,67.0,7,10,23000000,Сарыарка,Ak bars,2020,черновая
10611,2,66.6,6,6,36000000,Есиль,Nura Esil,2020,евроремонт
10612,1,50.3,3,8,28000000,Есиль,Премьера,2017,черновая
10613,2,53.6,4,5,18650000,Сарыарка,,2010,хорошее
10614,1,50.3,8,9,16200000,Алматы,Ак Дала,2007,евроремонт
10615,2,40.0,6,6,14000000,Алматы,,2017,евроремонт
10616,2,67.0,5,5,19800000,Алматы,,2005,хорошее
10617,2,94.5,5,5,27000000,Сарыарка,,1999,евроремонт
10618,1,43.0,8,8,17000000,,Арнау,2020,евроремонт
10619,3,57.0,6,6,18500000,Алматы,,1997,хорошее
10620,1,39.0,10,12,16000000,Сарыарка,Тамыз,2016,хорошее
10621,4,200.0,1,,143000000,Есиль,Highvill Park,2018,евроремонт
10622,1,50.0,5,6,20500000,Есиль,,2016,черновая
10623,2,47.0,1,5,14000000,Сарыарка,,1970,хорошее
10624,3,92.2,11,12,29500000,Есиль,Жагалау,2015,евроремонт
10625,3,72.0,4,8,38800000,Есиль,,2017,хорошее
10626,2,75.0,9,12,18000000,Есиль,,2022,черновая
10627,1,46.4,15,15,10500000,,Оберег,2020,черновая
10628,2,86.0,4,21,27000000,Алматы,Гранд Астана,2010,евроремонт
10629,2,75.0,1,5,28000000,,Красная деревня,2006,евроремонт
10630,4,150.0,5,7,99500000,Алматы,Австрийский квартал,2018,евроремонт
10631,1,38.0,9,9,13500000,Алматы,Жасмин,2015,евроремонт
10632,2,45.0,4,5,13500000,Сарыарка,,1980,хорошее
10633,1,24.0,5,5,9200000,Алматы,Солнечный город,2010,хорошее
10634,2,43.0,1,5,17000000,,,1982,хорошее
10635,2,61.5,6,24,29900000,Есиль,,2018,евроремонт
10636,1,48.8,5,10,15900000,Алматы,Сарытау,2016,евроремонт
10637,2,58.0,8,10,22000000,Есиль,Sunrise,2018,хорошее
10638,2,55.8,6,9,24000000,Алматы,,2015,хорошее
10639,5,205.5,5,19,210000000,Сарыарка,Звезда Астаны,2010,евроремонт
10640,4,100.0,5,9,41000000,,Шанырак,2006,евроремонт
10641,3,110.0,1,9,31800000,Алматы,,2000,евроремонт
10642,1,36.3,4,5,12700000,Алматы,,1987,среднее
10643,4,110.3,1,9,31800000,Алматы,,2003,хорошее
10644,3,90.0,6,12,27300000,,Восток,2007,хорошее
10645,11,540.0,1,,105000000,Сарыарка,,2007,евроремонт
10646,1,56.0,8,8,29000000,Есиль,Премьера,2015,евроремонт
10647,2,53.1,2,5,20500000,,,1996,хорошее
10648,4,106.0,3,9,43000000,Алматы,,2009,среднее
10649,2,46.9,1,5,16000000,Алматы,,1980,требует
10650,2,52.4,4,5,17200000,Алматы,,1993,хорошее
10651,3,78.0,3,9,23000000,Алматы,,2016,хорошее
10652,2,57.1,3,9,18500000,,Достар,2007,евроремонт
10653,3,125.0,7,16,44000000,Алматы,Кукуруза,2005,хорошее
10654,1,36.1,3,14,13500000,Алматы,,2010,хорошее
10655,4,171.0,5,9,70000000,Есиль,Тулпар Элит,2015,черновая
10656,1,22.0,2,5,7800000,Сарыарка,,1986,
10657,3,116.0,9,10,39000000,Есиль,Градкомплекс,2006,евроремонт
10658,3,82.4,9,13,23200000,Алматы,Степной,2009,среднее
10659,4,126.0,,,45000000,Алматы,Кахарман,2010,
10660,2,44.0,4,4,13000000,,,1979,среднее
10661,2,56.3,6,7,21500000,Есиль,Меркурий,2016,хорошее
10662,2,65.0,5,7,22500000,Алматы,Отан,2016,
10663,1,36.0,2,5,12500000,Сарыарка,,1985,хорошее
10664,3,83.0,3,9,21000000,Алматы,Сатурн,2021,черновая
10665,3,130.0,19,42,37000000,Сарыарка,Grand Alatau,2010,хорошее
10666,2,44.0,3,12,16300000,,Замечательный,2011,
10667,1,37.0,3,5,8300000,Есиль,Адина,2016,черновая
10668,2,43.0,2,5,12600000,Сарыарка,,1987,среднее
10669,4,150.0,3,6,73000000,Есиль,Дельфин,2008,хорошее
10670,1,38.0,4,14,17000000,Есиль,Коркем,2012,
10671,2,67.2,9,12,25000000,Алматы,,2013,евроремонт
10672,1,36.0,2,9,13700000,Есиль,Кристалл,2020,евроремонт
10673,3,93.8,9,9,30000000,Есиль,,2017,хорошее
10674,1,36.0,7,16,14100000,,Nova City,2020,
10675,1,41.2,12,16,17000000,Есиль,Asyl Mura,2021,
10676,4,111.5,2,9,55000000,Есиль,Авиценна,2018,евроремонт
10677,1,33.0,9,9,14500000,Есиль,,2007,хорошее
10678,2,69.0,2,9,26500000,Есиль,Кен Дала,2019,евроремонт
10679,4,130.0,3,5,41990000,Алматы,Красная деревня,2000,
10680,4,130.0,3,5,41990000,Алматы,Красная деревня,2000,
10681,2,35.0,1,9,15000000,Алматы,,2009,хорошее
10682,3,85.5,7,15,30000000,Алматы,Коксу,2009,евроремонт
10683,3,59.0,3,3,24000000,Алматы,,1995,хорошее
10684,2,58.4,8,14,24000000,Есиль,Алтын Шар,2019,евроремонт
10685,4,92.0,1,3,21000000,Есиль,МЖК Астана,2019,черновая
10686,2,56.5,2,9,21500000,Алматы,,2019,евроремонт
10687,3,76.2,7,10,23300000,Алматы,,2012,хорошее
10688,2,58.0,6,12,22000000,Алматы,Турсын Астана,2012,евроремонт
10689,4,112.0,1,9,39000000,Сарыарка,,2000,среднее
10690,2,85.0,2,9,40000000,Есиль,Алматы,2009,евроремонт
10691,3,104.4,12,12,35500000,Алматы,Турсын Астана,2011,среднее
10692,2,48.0,5,5,15000000,,,1968,хорошее
10693,3,99.0,12,13,26000000,Есиль,,2013,хорошее
10694,2,78.8,8,9,29000000,,Венский квартал,2016,
10695,2,50.0,16,18,17900000,Алматы,Жайна,2016,евроремонт
10696,1,36.1,11,,13700000,Есиль,Alau,2021,
10697,4,172.0,4,6,108000000,,Сулу,2015,
10698,1,19.0,1,5,8000000,Алматы,Солнечный город,2014,среднее
10699,2,53.6,8,8,34000000,,Триумфальный,2015,евроремонт
10700,2,70.3,12,20,43000000,,Edel,2017,евроремонт
10701,1,13.0,2,5,4500000,Алматы,,1990,хорошее
10702,1,40.0,5,10,17500000,Есиль,Apple City,2020,черновая
10703,1,38.1,3,9,12999999,Алматы,Самгау,2019,евроремонт
10704,3,80.2,6,10,35000000,Есиль,Семейный,2018,евроремонт
10705,2,75.4,7,,30000000,Есиль,Табысты,2018,евроремонт
10706,1,44.0,10,12,14800000,Алматы,,2011,евроремонт
10707,3,128.0,17,19,35900000,Сарыарка,Эмират,2015,евроремонт
10708,1,36.0,5,6,12300000,Алматы,,2012,хорошее
10709,3,100.25,4,11,27990000,Алматы,,2004,евроремонт
10710,1,50.36,9,9,13990000,Алматы,,2011,евроремонт
10711,3,130.0,39,43,36500000,Сарыарка,Grand Alatau,2012,евроремонт
10712,1,23.0,11,13,11500000,,Аспан,2018,евроремонт
10713,1,43.3,10,10,14500000,Алматы,,2012,хорошее
10714,4,110.54,14,15,46999000,Есиль,Авиценна,2015,евроремонт
10715,4,135.37,6,13,42990000,Алматы,Жасыл ел,2012,хорошее
10716,1,30.25,5,5,9250000,Алматы,,1980,евроремонт
10717,4,113.4,3,3,48500000,Есиль,Comfort Town,2016,евроремонт
10718,2,40.4,1,5,13500000,,,1970,евроремонт
10719,3,70.36,8,10,21990900,Сарыарка,,2012,хорошее
10720,2,50.36,18,19,23900000,,Millennium Park,2016,евроремонт
10721,3,72.0,4,9,20000000,Алматы,Эльбрус,2020,черновая
10722,2,49.2,18,22,21000000,Есиль,Only Sun,2020,черновая
10723,2,68.7,4,12,27500000,Алматы,Аксиома,2018,евроремонт
10724,2,56.0,7,9,27000000,Есиль,Алматау,2019,евроремонт
10725,2,67.0,17,21,34500000,Есиль,Highvill Park,2020,евроремонт
10726,1,18.5,4,6,5000000,,,1980,хорошее
10727,3,140.0,12,20,54000000,,Шапагат нуры,2009,евроремонт
10728,2,51.0,5,9,20000000,Сарыарка,,2013,среднее
10729,3,69.0,4,5,23500000,Алматы,,1993,евроремонт
10730,1,52.0,3,15,15800000,Сарыарка,,2014,среднее
10731,2,46.0,2,12,18200000,Алматы,,2019,евроремонт
10732,3,81.0,7,7,28600000,Алматы,Спутник,2019,евроремонт
10733,2,67.0,7,16,25000000,Сарыарка,Гармония,2014,хорошее
10734,2,65.0,4,8,35000000,Есиль,,2016,хорошее
10735,3,80.0,6,6,24000000,Алматы,Сарайшик,2016,
10736,2,38.0,2,5,13800000,,,1978,евроремонт
10737,1,35.0,3,12,15700000,Алматы,Саламат,2016,хорошее
10738,2,51.6,4,6,16500000,,,1989,хорошее
10739,1,44.0,7,12,15000000,Алматы,Турсын Астана,2011,хорошее
10740,2,51.0,5,5,15000000,Алматы,,1987,евроремонт
10741,1,45.0,12,18,16000000,Есиль,,2016,евроремонт
10742,3,58.2,3,5,17000000,Сарыарка,,1965,хорошее
10743,3,104.4,12,12,35500000,Алматы,Турсын Астана,2011,среднее
10744,1,48.0,3,6,12000000,Есиль,Family Park,2021,черновая
10745,3,65.5,7,14,30000000,Сарыарка,Кутты Мекен,2018,евроремонт
10746,1,30.3,3,16,10500000,Сарыарка,Тамыз,2010,среднее
10747,1,24.0,4,5,5500000,,,1977,хорошее
10748,3,66.5,3,21,25000000,Алматы,Гранд Астана,2011,евроремонт
10749,1,41.8,4,10,15000000,Есиль,Apple City,2020,черновая
10750,1,50.2,6,9,19700000,Есиль,Елорда Даму,2017,хорошее
10751,2,48.0,5,9,18000000,Есиль,,2011,хорошее
10752,3,132.0,5,6,88000000,Алматы,Британский квартал,2015,евроремонт
10753,2,65.0,2,13,27000000,Есиль,,2017,евроремонт
10754,6,173.0,10,11,68400000,Есиль,Life Park,2018,евроремонт
10755,1,18.0,5,5,4500000,,,1980,хорошее
10756,1,45.0,6,9,20000000,Есиль,BI City,2016,евроремонт
10757,3,95.0,3,5,33000000,Сарыарка,Сказка,2000,
10758,2,64.02,8,9,23000000,Есиль,,2021,
10759,2,62.0,4,8,38000000,Есиль,Expo Boulevard,2016,евроремонт
10760,1,55.0,6,8,22300000,,Венский квартал,2017,
10761,2,67.3,7,9,25500000,,,2006,хорошее
10762,2,51.1,8,19,24000000,Есиль,Светлый,2010,хорошее
10763,2,77.0,1,7,38000000,Алматы,Австрийский квартал,2020,евроремонт
10764,1,36.0,3,9,17000000,Есиль,Amsterdam,2020,евроремонт
10765,2,68.2,5,8,29000000,Есиль,Aq tay,2020,черновая
10766,3,124.4,3,9,40000000,,Жетысу,2005,хорошее
10767,1,38.6,2,10,17000000,Есиль,Кумбель,2018,евроремонт
10768,2,54.8,2,6,18000000,Сарыарка,,2011,хорошее
10769,3,90.4,5,11,44000000,Есиль,Life Park,2019,евроремонт
10770,3,66.9,6,9,25000000,Алматы,,1988,хорошее
10771,1,38.0,4,12,13300000,Алматы,Турсын Астана,2012,евроремонт
10772,4,107.0,12,14,42000000,Есиль,Лазурный квартал,2016,евроремонт
10773,8,442.0,15,16,546000000,Сарыарка,Арман,2005,евроремонт
10774,2,63.0,7,17,23000000,Алматы,Нур Отау,2010,
10775,4,153.0,3,18,73000000,Есиль,,2022,черновая
10776,1,39.3,9,9,18700000,Есиль,,2019,евроремонт
10777,1,35.1,9,14,14800000,Алматы,Akbulak Town,2011,хорошее
10778,2,44.0,9,10,14500000,,,2010,хорошее
10779,2,72.0,3,7,38000000,Есиль,Triumph Art,2020,черновая
10780,3,59.6,2,6,18000000,Алматы,,1993,евроремонт
10781,2,67.6,9,9,26000000,,,2006,хорошее
10782,3,97.0,8,14,69000000,Есиль,Премьера,2018,евроремонт
10783,2,58.0,2,8,22000000,Есиль,,2016,хорошее
10784,3,115.0,17,22,32000000,Алматы,,2008,евроремонт
10785,1,40.5,7,9,15000000,Сарыарка,Целиноград −,2009,евроремонт
10786,2,54.7,6,9,25888888,Есиль,,2010,евроремонт
10787,3,108.0,4,6,51000000,Есиль,Венский квартал,2018,хорошее
10788,1,40.0,,,16900000,Есиль,,2020,евроремонт
10789,1,43.0,6,13,16000000,Алматы,,2021,хорошее
10790,1,45.0,9,9,19000000,Есиль,Сауран,2015,хорошее
10791,1,32.59,15,23,10500000,Есиль,,2020,
10792,1,40.76,5,9,10900000,Сарыарка,Бозбиік,2020,черновая
10793,1,37.0,3,9,13000000,,College,2020,черновая
10794,1,40.0,2,,12000000,Есиль,Марс,2020,евроремонт
10795,3,80.0,9,9,35000000,Сарыарка,Шахар,2013,хорошее
10796,3,60.0,2,5,18500000,Сарыарка,,1980,хорошее
10797,2,60.0,9,10,25000000,Алматы,,2015,евроремонт
10798,3,58.0,4,5,19500000,Сарыарка,,1987,хорошее
10799,2,47.7,10,12,21499000,Есиль,BI City,2016,евроремонт
10800,3,95.0,17,19,45000000,Есиль,Коркем,2016,евроремонт
10801,4,112.0,7,14,50000000,Есиль,Лазурный квартал,2016,евроремонт
10802,2,71.0,2,12,24000000,Сарыарка,Тамыз,2009,евроремонт
10803,3,70.0,1,10,32000000,Есиль,Apple City,2020,евроремонт
10804,3,130.0,39,43,36400000,Есиль,Grand Alatau,2012,хорошее
10805,1,40.0,9,11,19000000,Есиль,Мәңгілік,2018,евроремонт
10806,3,95.0,2,8,43000000,Есиль,Венский квартал,2016,евроремонт
10807,2,58.8,7,16,16800000,Алматы,Гранд Астана,2010,хорошее
10808,1,35.4,5,9,14500000,Сарыарка,,2014,хорошее
10809,3,80.0,4,6,27000000,,Экодом,2020,евроремонт
10810,1,40.0,8,10,16000000,Есиль,,2021,черновая
10811,3,110.9,7,12,36300000,Есиль,Инфинити,2012,евроремонт
10812,2,63.0,9,12,23000000,Есиль,Сармат,2010,хорошее
10813,1,45.0,,,17200000,,Sport City,2020,черновая
10814,1,40.0,8,10,16400000,Есиль,Кумбель,2017,евроремонт
10815,3,110.0,7,23,29000000,Алматы,Байконур,2010,хорошее
10816,1,13.0,5,5,3700000,,,1960,среднее
10817,2,60.0,3,12,15000000,Сарыарка,,2020,
10818,2,54.0,4,9,20800000,Алматы,,2010,хорошее
10819,1,28.9,5,8,12000000,Алматы,,2018,евроремонт
10820,3,63.0,1,9,27000000,Есиль,Уют,2011,евроремонт
10821,1,40.4,2,10,12500000,Есиль,Brussels,2021,
10822,3,126.0,14,30,44000000,,Капитал,2009,евроремонт
10823,3,91.5,10,18,35000000,Есиль,Самрук Towers,2019,хорошее
10824,2,47.0,2,9,15550000,Сарыарка,,2020,черновая
10825,3,96.0,2,10,39250000,Есиль,SClub,2020,
10826,2,58.0,4,5,17500000,Алматы,,1968,хорошее
10827,1,42.0,16,23,14000000,Есиль,Коркем Tower,2020,черновая
10828,3,61.0,5,5,21000000,,,1982,хорошее
10829,2,87.0,12,17,28000000,,Фаворит,2013,хорошее
10830,2,70.0,7,16,26000000,Алматы,Рахат,2013,среднее
10831,2,62.5,3,12,30000000,Есиль,Only Sun,2021,
10832,1,33.0,3,9,17000000,Есиль,Sport City,2020,евроремонт
10833,1,37.0,3,9,15999555,Есиль,Nova City,2020,евроремонт
10834,2,87.0,2,5,37000000,Есиль,Альбион,2008,евроремонт
10835,2,49.0,5,5,18600000,Алматы,,1990,
10836,2,86.7,5,6,40000000,Есиль,Дельфин,2008,хорошее
10837,1,40.0,14,24,15000000,,,2020,хорошее
10838,3,80.7,10,10,40990000,Есиль,Дипломат,2009,евроремонт
10839,3,89.0,6,12,27300000,Алматы,Восток,2007,хорошее
10840,2,76.4,6,12,31000000,,Capital Park,2020,черновая
10841,5,210.0,9,9,100000000,Есиль,Венский квартал,2020,
10842,1,37.0,6,8,17000000,Есиль,,2016,евроремонт
10843,2,75.75,6,7,24500000,Алматы,ASQAT,2020,
10844,2,50.0,6,18,18000000,Алматы,,2015,
10845,2,83.4,8,8,33000000,Есиль,Aq tay,2021,черновая
10846,1,44.0,2,12,14500000,Алматы,Турсын Астана,2012,хорошее
10847,2,46.3,4,5,15800000,Алматы,,1989,евроремонт
10848,2,101.9,9,18,38500000,Есиль,Олимп палас,2016,
10849,1,39.0,7,22,14500000,Есиль,Коркем Tower,2020,хорошее
